object,X,Y
seat1,2478,4280
seat2,3327,4178
seat3,288,3702
seat4,1424,3554
seat5,519,2934
seat6,1050,2988
seat7,2498,2963
seat8,3017,2959
seat9,4026,4000
seat10,5221,3824
seat11,4258,3094
seat12,4949,2917
seat13,626,1861
seat14,1935,1869
seat15,1053,1221
seat16,1553,1090
seat17,3681,1799
seat18,5108,1889
seat19,4016,1110
seat20,4760,1112
seat21,500,-6
seat22,2594,-201
seat23,968,-927
seat24,1592,-1044
seat25,2502,-877
seat26,3535,-69
seat27,5014,-223
seat28,3910,-1143
seat29,4528,-1006
teacherDesk,1227,4911
blackboard,-895,2916
doorStart,244,-948
doorEnd,291,-408
window1Start,6816,-1817
window1End,6718,321
window2Start,6449,2408
window2End,6406,4083
projectorStart,1688,5809
projectorEnd,3569,5809
