anon_student_id,diagram_use,proactive_use,symbolic_incorrect_rate,diagram_incorrect_rate,hint_use,proactive_use_proportion,reactive_use,reactive_use_proportion,condition,school,class,grade,ck_pre,ck_td_pre,ck,ck_td,survey_pre,survey_ave,pk_pre,pk_td_pre,pk,pk_td,transfer_duse,transfer_eq,transfer_solve,transfer_sum,problems_solved,ck_lg,pk_lg
greenalpaca,0.125,0.125,0.15833333333333333,0.16216216216216217,0.6833333333333333,1,0,0,Y,W,P1,7,6,1,11,1,3.6,4.4,3,1,5,2,1,1,0,1,29,0.5,1
greenbird,0.04938271604938271,0.03703703703703703,0.12345679012345678,0.24444444444444444,0,0.75,0.01234567901234567,0.25,Y,W,P3,7,12,1,9,0,3,3.6,2,1,5,2,0,0,0,0,22,-0.75,1
greenbison,0.3263157894736842,0.18947368421052632,0.21052631578947367,0.15254237288135594,2.4105263157894736,0.5806451612903226,0.1368421052631579,0.41935483870967744,Y,W,P3,7,13,3,8,1,NA,NA,0,0,0,0,1,0,0,0,17,-1.6666666666666667,0
greencat,0.06956521739130435,0.04347826086956521,0.1391304347826087,0.2,0.09565217391304348,0.625,0.02608695652173913,0.375,Y,W,P3,7,11,1,11,1,2,2.4,3,1,5,2,1,0,0,0,41,0,1
greendog,0.2727272727272727,0.2727272727272727,0.7045454545454546,0.20930232558139536,0.02272727272727272,1,0,0,Y,W,P4,7,11,1,12,1,2.6,NA,0,0,0,0,NA,NA,NA,NA,16,0.2,0
greenduck,0.625,0.625,3.375,0.2,0,1,0,0,Y,W,P4,7,7,2,7,2,3,NA,1,0,0,0,NA,NA,NA,NA,5,0,-0.25
greenfish,0.06862745098039216,0.0392156862745098,0.3431372549019608,0.27906976744186046,2.715686274509804,0.5714285714285714,0.02941176470588236,0.4285714285714286,Y,W,P5,7,11,1,9,2,2,1.6,2,1,3,1,0,0,0,0,20,-0.4,0.3333333333333333
greengoose,0.6590909090909091,0.3863636363636363,0.5227272727272727,0.29310344827586204,0.25,0.5862068965517242,0.2727272727272727,0.41379310344827586,Y,W,P5,7,9,1,7,2,3.6,4,0,0,3,0,1,0,0,0,16,-0.2857142857142857,0.6
greenkoala,0,0,0,9,2.25,NA,0,NA,Y,W,P5,7,9,2,11,3,1.8,1.8,0,0,0,0,0,0,0,0,4,0.2857142857142857,0
greenlion,0.3333333333333333,0.30158730158730157,0.25396825396825395,0.078125,0.03174603174603174,0.9047619047619048,0.03174603174603174,0.09523809523809525,Y,W,P7,7,10,1,12,1,2.6,4.4,1,0,3,1,1,0,0,0,22,0.3333333333333333,0.5
greenmonkey,0.632183908045977,0.2988505747126437,0.06896551724137931,0.06140350877192982,0,0.4727272727272728,0.3333333333333333,0.5272727272727272,Y,W,P7,7,10,1,12,1,3.2,3,5,2,5,2,1,0,0,0,28,0.3333333333333333,NA
greenmouse,0.21839080459770116,0.1839080459770115,0.2988505747126437,0.1794871794871795,0.03448275862068965,0.8421052631578947,0.03448275862068967,0.1578947368421053,Y,W,P7,7,6,2,11,1,4,3.6,2,0,3,1,1,0,0,0,47,0.5,0.3333333333333333
greenotter,0.03546099290780142,0.02836879432624113,0.05673758865248227,0.1875,0,0.7999999999999999,0.00709219858156028,0.20000000000000007,Y,W,P7,7,12,1,12,1,3,3.6,3,1,5,2,1,0,0,0,32,0,1
greenowl,0.1264367816091954,0.10344827586206896,0.1264367816091954,0.08571428571428572,0.11494252873563218,0.8181818181818181,0.02298850574712645,0.1818181818181819,Y,W,P7,7,7,1,10,1,4.8,4.2,5,2,5,2,1,0,0,0,47,0.3333333333333333,NA
happyalpaca,0.34285714285714286,0.1904761904761905,0.8476190476190476,0.25316455696202533,1.5714285714285714,0.5555555555555555,0.1523809523809524,0.4444444444444445,N,B,5A,5,11,1,9,1,3.2,4.4,1,0,0,0,1,0,0,0,21,-0.4,-0.25
happyant,0.411214953271028,0.2336448598130841,0.34579439252336447,0.1176470588235294,1.2523364485981308,0.5681818181818182,0.17757009345794392,0.4318181818181818,N,B,5A,5,11,2,8,1,3.8,4.4,0,0,1,1,1,0,0,0,46,-0.6,0.2
happybat,0.26881720430107525,0.1935483870967742,0.3870967741935484,0.17857142857142858,0.34408602150537637,0.72,0.07526881720430106,0.27999999999999997,N,B,5A,5,9,1,10,1,3.8,4.6,0,0,3,1,1,0,0,0,46,0.14285714285714285,0.6
happybear,0.3103448275862069,0.20689655172413793,0.2413793103448276,0.20454545454545456,0.05747126436781609,0.6666666666666666,0.10344827586206898,0.33333333333333337,N,B,5A,5,11,3,13,2,3.6,4.6,1,0,5,2,1,0,0,0,46,0.4,1
happybee,0.6741573033707865,0.33707865168539325,0.6067415730337079,0.21487603305785125,0,0.5,0.33707865168539325,0.5,N,B,5A,5,6,0,10,2,4.4,5,0,0,0,0,1,0,0,0,45,0.4,0
happybobcat,0.4782608695652174,0.2608695652173913,0.33695652173913043,0.07865168539325842,0.4565217391304347,0.5454545454545454,0.2173913043478261,0.4545454545454546,N,B,7G,7,9,2,8,2,1,1,0,0,1,0,0,0,0,0,23,-0.14285714285714285,0.2
happycamel,0.4069767441860465,0.2441860465116279,0.3720930232558139,0.24285714285714283,2.558139534883721,0.6,0.16279069767441862,0.4,N,B,7G,7,7,1,10,2,2.8,3,0,0,0,0,1,0,0,0,19,0.3333333333333333,0
happycat,0.78125,0.53125,1.59375,0.17777777777777778,0.375,0.68,0.25,0.32,N,B,5B,5,7,1,12,1,3,3.6,0,0,0,0,0,0,0,0,12,0.5555555555555556,0
happycoyote,0.27586206896551724,0.22988505747126436,0.4482758620689655,0.10714285714285714,0.01149425287356321,0.8333333333333334,0.04597701149425287,0.16666666666666666,N,B,7G,7,11,3,11,1,5,5,1,0,3,1,0,0,0,0,46,0,0.5
happycrane,0,0,0.01136363636363636,0.13559322033898305,0,NA,0,NA,N,B,7H,7,14,2,14,3,1,1.8,5,2,5,2,0,1,0,1,46,0,NA
happydog,0.3146067415730337,0.20224719101123595,0.20224719101123595,0.17045454545454544,0.07865168539325842,0.6428571428571429,0.11235955056179776,0.35714285714285715,N,B,5B,5,9,2,10,2,2.6,4.4,0,0,3,1,1,0,0,0,46,0.14285714285714285,0.6
happydonkey,0.01149425287356321,0,0.05747126436781609,0.11666666666666668,0,0,0.01149425287356321,1,N,B,7H,7,8,0,11,2,3,3.4,0,0,4,2,0,0,0,0,46,0.375,0.8
happyduck,0.05555555555555555,0.05555555555555555,0.17777777777777778,0.31343283582089554,0,1,0,0,N,B,6A,6,9,1,8,2,2.8,1.8,5,2,5,2,0,0,0,0,34,-0.14285714285714285,NA
happyeagle,0.01739130434782608,0.01739130434782608,0.03478260869565217,0.03278688524590164,0.00869565217391304,1,0,0,N,B,6A,6,6,1,12,1,2.2,2.2,4,1,3,1,0,0,0,0,46,0.6,-1
happyemu,0.2764227642276423,0.14634146341463414,0.03252032520325203,0.01075268817204301,0,0.5294117647058824,0.13008130081300814,0.4705882352941177,N,B,7H,7,14,1,16,3,3.6,4.4,5,2,5,2,1,1,1,2,46,1,NA
happyfish,0,0,0.08064516129032258,0.13559322033898305,0.07258064516129033,NA,0,NA,N,B,6A,6,8,1,13,1,2.6,2.8,3,1,3,1,1,0,0,0,36,0.625,0
happyfox,0,0,0.05434782608695652,0.01694915254237288,0.0108695652173913,NA,0,NA,N,B,6A,6,12,1,12,1,1.8,1.8,5,2,5,2,1,0,0,0,46,0,NA
happyfrog,0,0,0.1839080459770115,0.15254237288135594,0.08045977011494253,NA,0,NA,N,B,8G,8,9,1,8,2,3.4,2,4,2,2,1,0,0,0,0,46,-0.14285714285714285,-2
happygoat,0.20930232558139536,0.20930232558139536,0.4186046511627907,0.07692307692307693,2.3333333333333335,1,0,0,N,B,8G,8,13,2,6,1,1.6,2,0,0,0,0,1,0,0,0,25,-2.3333333333333335,0
happygoose,0.02061855670103092,0.01030927835051546,0.4639175257731959,0.20689655172413793,1.1855670103092784,0.5,0.01030927835051546,0.5,N,B,6B,6,9,1,7,2,1.8,1.8,4,1,3,1,0,0,1,1,27,-0.2857142857142857,-1
happyhawk,0.01149425287356321,0.01149425287356321,0.13793103448275862,0.26666666666666666,0,1,0,0,N,B,8G,8,9,2,8,1,2.6,3,2,0,5,2,0,0,0,0,38,-0.14285714285714285,1
happykoala,0.16666666666666666,0.14705882352941177,0.10784313725490197,0.09210526315789472,0,0.8823529411764707,0.01960784313725488,0.11764705882352933,N,B,6B,6,9,1,8,1,3,3.8,3,1,3,1,1,0,0,0,32,-0.14285714285714285,0
happylion,0.14606741573033707,0.1348314606741573,0.03370786516853932,0.0958904109589041,0,0.9230769230769232,0.01123595505617977,0.07692307692307693,N,B,6B,6,12,2,11,1,3.2,3,3,1,5,2,1,1,1,2,46,-0.25,1
happymole,0,0,0.01149425287356321,0.05084745762711865,0,NA,0,NA,N,B,8H,8,12,3,14,3,1,1,5,2,5,2,0,0,0,0,46,0.5,NA
happymonkey,0.28735632183908044,0.27586206896551724,0.10344827586206896,0.03571428571428571,0,0.96,0.0114942528735632,0.03999999999999995,N,B,6B,6,7,1,9,2,3,3,2,1,1,0,1,1,0,1,46,0.2222222222222222,-0.3333333333333333
kindalpaca,0.0091743119266055,0,0.4128440366972478,0.3333333333333333,1.926605504587156,0,0.0091743119266055,1,N,B,5A,5,12,2,7,1,2.4,3.8,1,1,0,0,1,0,0,0,21,-1.25,-0.25
kindant,0.5892857142857143,0.3125,1.9196428571428572,0.16666666666666666,1.8660714285714288,0.5303030303030303,0.2767857142857143,0.4696969696969697,N,B,5A,5,8,1,10,1,5,2.8,0,0,1,0,1,0,0,0,38,0.25,0.2
kindbat,0.3894736842105263,0.25263157894736843,0.6,0.2736842105263158,0.8,0.6486486486486487,0.13684210526315788,0.3513513513513513,N,B,5A,5,11,2,8,2,2.8,3.8,3,1,1,0,1,0,0,0,46,-0.6,-1
kindbear,0.3181818181818182,0.20454545454545456,0.3068181818181818,0.3626373626373626,0.05681818181818181,0.6428571428571429,0.11363636363636362,0.3571428571428571,N,B,5A,5,9,1,13,3,3,4.8,0,0,4,2,1,0,0,0,46,0.5714285714285714,0.8
kindbee,0.15436241610738255,0.1342281879194631,0.5704697986577181,0.3023255813953488,2.4630872483221475,0.8695652173913043,0.02013422818791946,0.13043478260869565,N,B,5A,5,10,2,8,1,3.8,4.4,0,0,0,0,1,1,0,1,29,-0.3333333333333333,0
kindbison,0.5892857142857143,0.3392857142857143,0.9821428571428572,0.3188405797101449,0.05357142857142857,0.5757575757575758,0.25,0.42424242424242425,N,B,5B,5,10,1,4,1,2.6,3.8,0,0,1,1,1,0,0,0,20,-1,0.2
kindbobcat,0.1111111111111111,0,0.4444444444444444,0.8333333333333334,0.4444444444444444,0,0.1111111111111111,1,N,B,7G,7,6,1,6,2,2.2,1.8,0,0,3,1,0,0,0,0,5,0,0.6
kindcamel,0.1774193548387097,0.1774193548387097,0.16129032258064516,0.17857142857142858,3.0806451612903225,1,0,0,N,B,7G,7,6,2,9,1,2.6,2.8,0,0,0,0,1,0,0,0,11,0.3,0
kindcat,0.03508771929824561,0,0.7192982456140351,0.3333333333333333,1.649122807017544,0,0.03508771929824561,1,N,B,5B,5,10,1,7,1,4.2,3.6,0,0,2,1,1,0,0,0,16,-0.5,0.4
kindcrane,0.02816901408450704,0,0.08450704225352113,0.12698412698412698,0.00704225352112676,0,0.02816901408450704,1,N,B,7H,7,13,2,13,2,3.4,2.4,5,2,5,2,1,1,0,1,46,0,NA
kinddeer,0.48484848484848486,0.3333333333333333,0.6363636363636364,0.5384615384615384,0.24242424242424243,0.6874999999999999,0.15151515151515155,0.31250000000000006,N,B,5B,5,5,3,10,1,1,2.4,0,0,1,0,0,0,0,0,13,0.45454545454545453,0.2
kinddog,0.6666666666666666,0.3333333333333333,0.11494252873563218,0.09482758620689656,0.02298850574712643,0.5,0.3333333333333333,0.5,N,B,5B,5,12,2,8,1,2,4.2,1,1,2,1,1,0,0,0,46,-1,0.25
kinddonkey,0.03448275862068965,0.02298850574712643,0.05747126436781609,0.11475409836065574,0.06896551724137931,0.6666666666666666,0.01149425287356321,0.3333333333333333,N,B,7H,7,8,1,9,2,3.8,3.6,5,2,5,2,1,1,0,1,46,0.125,NA
kinddragon,0.6931818181818182,0.32954545454545453,0.4659090909090909,0.15833333333333333,0,0.4754098360655737,0.3636363636363637,0.5245901639344263,N,B,6A,6,8,1,9,2,1.8,3,1,0,1,1,1,0,0,0,46,0.125,0
kindduck,0.04597701149425287,0.01149425287356321,0.26436781609195403,0.14754098360655735,0.01149425287356321,0.25,0.03448275862068965,0.75,N,B,6A,6,9,3,9,1,4.2,1.6,3,1,5,2,0,0,0,0,46,0,1
kindemu,0.01149425287356321,0,0.01149425287356321,0.08333333333333333,0.08045977011494253,0,0.01149425287356321,1,N,B,7H,7,7,1,8,2,5,5,5,2,5,2,0,0,0,0,46,0.1111111111111111,NA
kindfish,0,0,0.04794520547945205,0,0.03424657534246575,NA,0,NA,N,B,6A,6,10,1,11,1,1.2,1.4,2,0,3,0,0,0,0,0,40,0.16666666666666666,0.3333333333333333
kindfox,0.6666666666666666,0.3103448275862069,0.22988505747126436,0.1623931623931624,0.04597701149425287,0.4655172413793104,0.3563218390804597,0.5344827586206896,N,B,6A,6,5,2,11,2,2.8,3.6,4,2,5,2,1,0,0,0,46,0.5454545454545454,1
kindfrog,0.01149425287356321,0.01149425287356321,0.02298850574712643,0.13333333333333333,0,1,0,0,N,B,7H,7,15,3,13,3,3,3.2,5,2,5,2,0,0,1,1,46,-2,NA
kindgoose,0.3448275862068966,0.3103448275862069,0.05747126436781609,0.05617977528089887,0,0.9,0.03448275862068967,0.10000000000000003,N,B,6B,6,11,1,13,1,2.8,3.8,5,2,5,2,1,0,0,0,46,0.4,NA
kindjellyfish,0.01136363636363636,0.01136363636363636,0.03409090909090909,0.03278688524590164,0.03409090909090909,1,0,0,N,B,8G,8,12,2,11,1,2.8,3.2,5,2,5,2,1,0,0,0,46,-0.25,NA
kindlion,0.3058823529411765,0.21176470588235297,0.04705882352941176,0.09411764705882351,0,0.6923076923076923,0.09411764705882356,0.30769230769230776,N,B,6B,6,8,1,8,1,4.2,4.8,1,0,5,2,1,0,0,0,28,0,1
kindpanda,0.01149425287356321,0.01149425287356321,0.05747126436781609,0.13114754098360656,0,1,0,0,N,B,8H,8,14,2,13,1,1,1,2,1,5,2,0,0,0,0,46,-0.5,1
