DayID,PeriodID,SeatNum,actual_user_id,X,Y,anon_user_id
1,5,24,orangemonkey,1592,-1044,Stu_25a468296f863f044d02e746e8c0d3de
1,5,2,yellowowl,3327,4178,Stu_c992081215add82db72899753ca5216a
1,5,3,violetmouse,288,3702,Stu_ffca8028e1a8ff3b68cb857f45f318d2
1,5,4,violetmonkey,1424,3554,Stu_a76d74fac0ec2cc440a3af3c100d85f3
1,5,6,greenmouse,1050,2988,Stu_245462ecdc95e9741ca6f7fd229fad5d
1,5,9,greenlion,4026,4000,Stu_607b2c5ecd0c0e7e76fd33f4d16880ea
1,5,10,violetlion,5221,3824,Stu_f7e62ea1af2c97a904bc4a3ae868f74e
1,5,11,greenotter,4258,3094,Stu_033eed4283afcc99a64251fc5388d824
1,5,23,orangelion,968,-927,Stu_88b5a8853a66534b451228f665560d72
1,5,13,violetotter,626,1861,Stu_eb2a7f36ff4c28fde56fed33d268135a
1,5,14,orangeotter,1935,1869,Stu_581884f2c3e3a7f0cc31f43fb0a58d3f
1,5,15,greenowl,1053,1221,Stu_9263f2963e9315d13782475826c4d055
1,5,16,greenmonkey,1553,1090,Stu_2f6ecc2eff78a84bfcb2f98b1ef0ae31
1,5,17,yellowotter,3681,1799,Stu_f1ac111cc6b87cb28e6543304996af04
1,5,18,yellowmouse,5108,1889,Stu_b0f953b46e84d968213f6047decc9f26
1,5,19,orangemouse,4016,1110,Stu_f055134bcae1c1b76a3da7000777d218
1,5,20,yellowmonkey,4760,1112,Stu_ba951cf2152bd6ac94048394deae348f
2,5,1,orangemonkey,2478,4280,Stu_25a468296f863f044d02e746e8c0d3de
2,5,2,yellowowl,3327,4178,Stu_c992081215add82db72899753ca5216a
2,5,4,violetmonkey,1424,3554,Stu_a76d74fac0ec2cc440a3af3c100d85f3
2,5,6,greenmouse,1050,2988,Stu_245462ecdc95e9741ca6f7fd229fad5d
2,5,9,greenlion,4026,4000,Stu_607b2c5ecd0c0e7e76fd33f4d16880ea
2,5,10,violetlion,5221,3824,Stu_f7e62ea1af2c97a904bc4a3ae868f74e
2,5,11,greenotter,4258,3094,Stu_033eed4283afcc99a64251fc5388d824
2,5,12,orangelion,4949,2917,Stu_88b5a8853a66534b451228f665560d72
2,5,13,violetotter,626,1861,Stu_eb2a7f36ff4c28fde56fed33d268135a
2,5,14,orangeotter,1935,1869,Stu_581884f2c3e3a7f0cc31f43fb0a58d3f
2,5,23,greenowl,968,-927,Stu_9263f2963e9315d13782475826c4d055
2,5,18,yellowmouse,5108,1889,Stu_b0f953b46e84d968213f6047decc9f26
2,5,19,orangemouse,4016,1110,Stu_f055134bcae1c1b76a3da7000777d218
2,5,20,yellowmonkey,4760,1112,Stu_ba951cf2152bd6ac94048394deae348f
3,5,1,orangemonkey,2478,4280,Stu_25a468296f863f044d02e746e8c0d3de
3,5,21,yellowowl,500,-6,Stu_c992081215add82db72899753ca5216a
3,5,23,violetmouse,968,-927,Stu_ffca8028e1a8ff3b68cb857f45f318d2
3,5,4,violetmonkey,1424,3554,Stu_a76d74fac0ec2cc440a3af3c100d85f3
3,5,6,greenmouse,1050,2988,Stu_245462ecdc95e9741ca6f7fd229fad5d
3,5,9,greenlion,4026,4000,Stu_607b2c5ecd0c0e7e76fd33f4d16880ea
3,5,10,violetlion,5221,3824,Stu_f7e62ea1af2c97a904bc4a3ae868f74e
3,5,11,greenotter,4258,3094,Stu_033eed4283afcc99a64251fc5388d824
3,5,12,orangelion,4949,2917,Stu_88b5a8853a66534b451228f665560d72
3,5,13,violetotter,626,1861,Stu_eb2a7f36ff4c28fde56fed33d268135a
3,5,14,orangeotter,1935,1869,Stu_581884f2c3e3a7f0cc31f43fb0a58d3f
3,5,15,greenowl,1053,1221,Stu_9263f2963e9315d13782475826c4d055
3,5,16,greenmonkey,1553,1090,Stu_2f6ecc2eff78a84bfcb2f98b1ef0ae31
3,5,17,yellowotter,3681,1799,Stu_f1ac111cc6b87cb28e6543304996af04
3,5,18,yellowmouse,5108,1889,Stu_b0f953b46e84d968213f6047decc9f26
3,5,19,orangemouse,4016,1110,Stu_f055134bcae1c1b76a3da7000777d218
3,5,20,yellowmonkey,4760,1112,Stu_ba951cf2152bd6ac94048394deae348f
1,1,3,greenalpaca,288,3702,Stu_08d66b3d398409412db22b6d514aa6da
1,1,4,orangeant,1424,3554,Stu_f26cce9771290ce8b87a3a448d64cfc5
1,1,6,greenant,1050,2988,Stu_283ef3d7bc762230b40c737f30751bac
1,1,21,violetant,500,-6,Stu_1b58811bce4e1e0b46297dc353138a80
1,1,12,greenbat,4949,2917,Stu_7cadba7b4bcb0ecae98fd43325b9423c
1,1,10,violetbat,5221,3824,Stu_c6d8770fc00320528bebd05aab3d9a69
1,1,24,orangebat,1592,-1044,Stu_0970273addcc362e28e73fd97b203527
