subject,pk_100,ck_100,pk_gain,ck_gain,pk_gain_c,ck_gain_c,high_ck_pre,high_pk_pre,high_pk_gain,high_ck_gain,high_pk_gain_c,high_ck_gain_c,intercept,learning_rate,high_learning_rate,high_intercept
Stu_08d66b3d398409412db22b6d514aa6da,1,0.6875,1,0.5,1,0.5,0,1,1,1,1,1,-0.3706394994211584,-0.0033435992239966746,0,0
Stu_bec5f1261cf3fdd33463d18efaa1c5e7,1,0.5625,1,-0.75,1,-0.25,1,0,1,0,1,0,0.029740468187124385,2.6829360202316907e-4,1,1
Stu_748954b6547335881dd47f332ed7fb32,0,0.5,0,-1.6666666666666667,0,-0.38461538461538464,1,0,0,0,0,0,0.011816809318226307,1.0660135934848675e-4,0,0
Stu_bdaeb2a656daff0549fb989de069fe65,1,0.6875,1,0,1,0,1,1,1,0,1,0,0.04821261711291205,4.3493386273545944e-4,1,1
Stu_83a64d3c071f48b442050f2f07c809a1,0,0.75,0,0.2,0,0.2,1,0,0,1,0,1,0.02514958749589084,2.2687852041248653e-4,1,1
Stu_35264f9486d139717d2583ddba2fd107,0,0.4375,-0.25,0,-1,0,0,0,0,0,0,0,0.002450217907863226,2.210381437528608e-5,0,0
Stu_14053def54d0fd78ad49613e7bca6e70,0.6,0.5625,0.3333333333333333,-0.4,0.3333333333333333,-0.18181818181818182,1,0,1,0,1,0,0.01269289160003399,1.1450464014339435e-4,0,0
Stu_dba309024b7f39dc7d631c1a359ca2de,0.6,0.4375,0.6,-0.2857142857142857,0.6,-0.2222222222222222,0,0,1,0,1,0,0.026230365143855395,2.3662839140759328e-4,1,1
Stu_8fcc41fa37779f10e9163fa3e91458d5,0,0.6875,0,0.2857142857142857,0,0.2857142857142857,0,0,0,1,0,1,0.0018060671085584447,1.629282521720674e-5,0,0
Stu_607b2c5ecd0c0e7e76fd33f4d16880ea,0.6,0.75,0.5,0.3333333333333333,0.5,0.3333333333333333,0,0,1,1,1,1,0.029204291753407195,2.634566671835151e-4,1,1
Stu_2f6ecc2eff78a84bfcb2f98b1ef0ae31,1,0.75,NA,0.3333333333333333,0,0.3333333333333333,0,1,NA,1,0,1,0.03733678618806514,3.3682122256238335e-4,1,1
Stu_245462ecdc95e9741ca6f7fd229fad5d,0.6,0.6875,0.3333333333333333,0.5,0.3333333333333333,0.5,0,0,1,1,1,1,0.059038370974642526,5.325947495750737e-4,1,1
Stu_033eed4283afcc99a64251fc5388d824,1,0.75,1,0,1,0,1,1,1,0,1,0,0.04139932499177408,3.734700460492256e-4,1,1
Stu_9263f2963e9315d13782475826c4d055,1,0.625,NA,0.3333333333333333,0,0.3333333333333333,0,1,NA,1,0,1,0.05425628040646262,4.89454732556328e-4,1,1
Stu_03cac10de8d282be297f7b1550ef153d,0,0.625,0,0,0,0,0,0,0,0,0,0,0.06000519894913813,5.413166620272284e-4,1,1
Stu_f26cce9771290ce8b87a3a448d64cfc5,0.6,0.5625,0.5,0.2222222222222222,0.5,0.2222222222222222,0,0,1,1,1,1,0.030571256039410133,2.757882744003623e-4,1,1
